Date,Commodity,Variety,Min_Price,Max_Price,Modal_Price,District,Market,Arrival_Quantity,Demand,
2/28/2021,Potato,Other,800,1400,1200,Pune,Pune,55000,0.46,
12/15/2022,Potato,Other,1700,2400,2050,Pune,Pune,55000,0.27,
6/13/2022,Potato,Other,1500,1900,1700,Pune,Pune,57700,0.34,
3/18/2022,Potato,Other,1000,1600,1300,Pune,Pune,58100,0.45,
11/30/2021,Potato,Other,1000,1600,1300,Pune,Pune,61000,0.47,
11/22/2022,Potato,Other,1200,2300,1750,Pune,Pune,62500,0.36,
4/15/2021,Potato,Other,1000,1700,1350,Pune,Pune,62700,0.46,
05-06-2022,Potato,Other,1600,2400,2000,Pune,Pune,62700,0.31,
1/28/2021,Potato,Other,700,1600,1150,Pune,Pune,62900,0.55,
4/26/2021,Potato,Other,800,1600,1200,Pune,Pune,64000,0.53,
03-01-2020,Potato,Other,1200,1800,1400,Pune,Pune,66200,0.47,
9/23/2020,Potato,Other,1500,3200,2350,Pune,Pune,68400,0.29,
12/24/2021,Potato,Other,700,1800,1250,Pune,Pune,69200,0.55,
8/30/2022,Potato,Other,1600,2200,1900,Pune,Pune,69300,0.36,
5/29/2022,Potato,Other,1600,2100,1850,Pune,Pune,71800,0.39,
12/30/2021,Potato,Other,600,1600,1100,Pune,Pune,74900,0.68,
12-08-2020,Potato,Other,3500,4000,3850,Pune,Pune,77000,0.2,
3/15/2023,Potato,Other,700,1400,1050,Pune,Pune,77300,0.74,
11-10-2021,Potato,Other,1000,2200,1600,Pune,Pune,77700,0.49,
7/31/2022,Potato,Other,1700,2200,1950,Pune,Pune,81600,0.42,
01-12-2020,Potato,Other,1800,2700,2200,Pune,Pune,83700,0.38,
1/27/2023,Potato,Other,1100,1800,1450,Pune,Pune,86300,0.6,
12-11-2022,Potato,Other,1500,2400,1950,Pune,Pune,87000,0.45,
12/26/2021,Potato,Other,800,1800,1300,Pune,Pune,95900,0.74,
1/14/2025,Potato,Local,1500,2200,1850,Pune,Pune,36100,0.2,
7/22/2024,Potato,Local,2500,3100,2800,Pune,Pune,37600,0.13,
6/25/2024,Potato,Local,2200,3000,2600,Pune,Pune,37900,0.15,
3/27/2025,Potato,Local,800,2100,1450,Pune,Pune,39300,0.27,
4/18/2025,Potato,Local,1200,2000,1600,Pune,Pune,44500,0.28,
7/21/2023,Potato,Local,1000,2000,1500,Pune,Pune,45600,0.3,
03-05-2025,Potato,Local,1000,1900,1450,Pune,Pune,46200,0.32,
6/18/2024,Potato,Local,2500,3000,2750,Pune,Pune,47100,0.17,
3/26/2025,Potato,Local,800,2000,1400,Pune,Pune,47200,0.34,
9/26/2024,Potato,Local,2000,3200,2600,Pune,Pune,50000,0.19,
02-07-2024,Potato,Local,1300,1800,1550,Pune,Pune,52500,0.34,
8/27/2024,Potato,Local,2300,3000,2650,Pune,Pune,53400,0.2,
07-06-2023,Potato,Local,1000,2000,1500,Pune,Pune,54400,0.36,
7/23/2025,Potato,Local,1000,1800,1400,Pune,Pune,54500,0.39,
01-09-2025,Potato,Local,1500,2100,1800,Pune,Pune,55800,0.31,
9/25/2023,Potato,Local,1000,2000,1500,Pune,Pune,57300,0.38,
03-12-2025,Potato,Local,1000,1900,1450,Pune,Pune,57400,0.4,
7/25/2025,Potato,Local,1000,1800,1400,Pune,Pune,58300,0.42,
07-05-2023,Potato,Local,1100,2000,1550,Pune,Pune,58300,0.38,
7/14/2025,Potato,Local,12000,20000,16000,Pune,Pune,58700,0.04,
5/31/2023,Potato,Local,1100,1900,1500,Pune,Pune,59400,0.4,
8/30/2024,Potato,Local,2200,3000,2600,Pune,Pune,60800,0.23,
01-06-2025,Potato,Local,1500,2200,1850,Pune,Pune,61500,0.33,
6/13/2023,Potato,Local,1000,2000,1500,Pune,Pune,62800,0.42,
7/22/2025,Potato,Local,1000,1800,1400,Pune,Pune,66200,0.47,
1/30/2024,Potato,Local,1200,1600,1400,Pune,Pune,70000,0.5,
4/14/2024,Potato,Local,1500,2600,2050,Pune,Pune,71100,0.35,
02-09-2025,Potato,Local,1500,2000,1750,Pune,Pune,71600,0.41,
4/20/2025,Potato,Local,1400,2000,1700,Pune,Pune,71800,0.42,
11/24/2023,Potato,Local,1000,2200,1600,Pune,Pune,72200,0.45,
12-09-2024,Potato,Local,2000,4000,3000,Pune,Pune,73400,0.24,
11/27/2023,Potato,Local,1100,1800,1450,Pune,Pune,76700,0.53,
12/25/2024,Potato,Local,1200,3000,2100,Pune,Pune,84300,0.4,
12-10-2023,Potato,Local,1200,2200,1700,Pune,Pune,86100,0.51,
11/22/2023,Potato,Local,1000,2000,1500,Pune,Pune,87900,0.59,
11/17/2024,Potato,Local,2300,4000,3150,Pune,Pune,87900,0.28,
8/31/2022,Potato,Other,1600,2200,1900,Pune,Pune,8400,0.04,
6/15/2020,Potato,Other,1800,2000,1900,Pune,Pune,24600,0.13,
6/19/2020,Potato,Other,1500,2000,1750,Pune,Pune,25100,0.14,
3/26/2021,Potato,Other,700,1600,1150,Pune,Pune,25500,0.22,
4/22/2021,Potato,Other,800,1700,1250,Pune,Pune,26700,0.21,
8/17/2020,Potato,Other,2100,2600,2300,Pune,Pune,26900,0.12,
4/14/2022,Potato,Other,1000,1750,1380,Pune,Pune,31900,0.23,
05-04-2022,Potato,Other,1000,2400,1700,Pune,Pune,31900,0.19,
01-02-2023,Potato,Other,1200,2000,1600,Pune,Pune,32400,0.2,
8/27/2021,Potato,Other,700,1400,1050,Pune,Pune,33300,0.32,
